철도_id,출발시간,도착시간,출발정류장,도착정류장
7,06:26:00,06:28:00,걸포북변,사우
7,06:28:00,06:31:00,사우,풍무
7,06:31:00,06:35:00,풍무,고촌
7,06:35:00,06:42:00,고촌,김포공항
8,06:14:00,06:17:00,양촌,구래
8,06:17:00,06:20:00,구래,마산
8,06:20:00,06:24:00,마산,장기
8,06:24:00,06:26:00,장기,운양
8,06:26:00,06:31:00,운양,걸포북변
8,06:31:00,06:33:00,걸포북변,사우
8,06:33:00,06:36:00,사우,풍무
8,06:36:00,06:40:00,풍무,고촌
8,06:40:00,06:47:00,고촌,김포공항
9,06:19:00,06:22:00,양촌,구래
9,06:22:00,06:25:00,구래,마산
9,06:25:00,06:29:00,마산,장기
9,06:29:00,06:31:00,장기,운양
9,06:31:00,06:36:00,운양,걸포북변
9,06:36:00,06:38:00,걸포북변,사우
9,06:38:00,06:41:00,사우,풍무
9,06:41:00,06:45:00,풍무,고촌
9,06:45:00,06:52:00,고촌,김포공항
10,06:23:00,06:26:00,양촌,구래
10,06:26:00,06:29:00,구래,마산
10,06:29:00,06:33:00,마산,장기
10,06:33:00,06:35:00,장기,운양
10,06:35:00,06:40:00,운양,걸포북변
10,06:40:00,06:42:00,걸포북변,사우
10,06:42:00,06:45:00,사우,풍무
10,06:45:00,06:49:00,풍무,고촌
10,06:49:00,06:56:00,고촌,김포공항
11,06:27:00,06:30:00,양촌,구래
11,06:30:00,06:33:00,구래,마산
11,06:33:00,06:37:00,마산,장기
11,06:37:00,06:39:00,장기,운양
11,06:39:00,06:44:00,운양,걸포북변
11,06:44:00,06:46:00,걸포북변,사우
11,06:46:00,06:49:00,사우,풍무
11,06:49:00,06:53:00,풍무,고촌
11,06:53:00,07:00:00,고촌,김포공항
12,06:30:00,06:33:00,양촌,구래
12,06:33:00,06:36:00,구래,마산
12,06:36:00,06:40:00,마산,장기
12,06:40:00,06:43:00,장기,운양
12,06:43:00,06:47:00,운양,걸포북변
12,06:47:00,06:49:00,걸포북변,사우
12,06:49:00,06:52:00,사우,풍무
12,06:52:00,06:56:00,풍무,고촌
12,06:56:00,07:03:00,고촌,김포공항
13,06:33:00,06:36:00,양촌,구래
13,06:36:00,06:39:00,구래,마산
13,06:39:00,06:43:00,마산,장기
13,06:43:00,06:46:00,장기,운양
13,06:46:00,06:50:00,운양,걸포북변
13,06:50:00,06:53:00,걸포북변,사우
13,06:53:00,06:55:00,사우,풍무
13,06:55:00,07:00:00,풍무,고촌
13,07:00:00,07:07:00,고촌,김포공항
14,06:36:00,06:39:00,양촌,구래
14,06:39:00,06:42:00,구래,마산
14,06:42:00,06:46:00,마산,장기
14,06:46:00,06:49:00,장기,운양
14,06:49:00,06:53:00,운양,걸포북변
14,06:53:00,06:56:00,걸포북변,사우
14,06:56:00,06:58:00,사우,풍무
14,06:58:00,07:03:00,풍무,고촌
14,07:03:00,07:10:00,고촌,김포공항
15,06:39:00,06:42:00,양촌,구래
15,06:42:00,06:45:00,구래,마산
15,06:45:00,06:49:00,마산,장기
15,06:49:00,06:52:00,장기,운양
15,06:52:00,06:56:00,운양,걸포북변
15,06:56:00,06:59:00,걸포북변,사우
15,06:59:00,07:01:00,사우,풍무
15,07:01:00,07:06:00,풍무,고촌
15,07:06:00,07:13:00,고촌,김포공항
16,06:43:00,06:45:00,양촌,구래
16,06:45:00,06:49:00,구래,마산
16,06:49:00,06:52:00,마산,장기
16,06:52:00,06:55:00,장기,운양
16,06:55:00,06:59:00,운양,걸포북변
16,06:59:00,07:02:00,걸포북변,사우
16,07:02:00,07:04:00,사우,풍무
16,07:04:00,07:09:00,풍무,고촌
16,07:09:00,07:16:00,고촌,김포공항
17,06:46:00,06:48:00,양촌,구래
17,06:48:00,06:52:00,구래,마산
17,06:52:00,06:56:00,마산,장기
17,06:56:00,06:58:00,장기,운양
17,06:58:00,07:02:00,운양,걸포북변
17,07:02:00,07:05:00,걸포북변,사우
17,07:05:00,07:07:00,사우,풍무
17,07:07:00,07:12:00,풍무,고촌
17,07:12:00,07:19:00,고촌,김포공항
18,06:49:00,06:52:00,양촌,구래
18,06:52:00,06:55:00,구래,마산
18,06:55:00,06:59:00,마산,장기
18,06:59:00,07:01:00,장기,운양
18,07:01:00,07:05:00,운양,걸포북변
18,07:05:00,07:08:00,걸포북변,사우
18,07:08:00,07:11:00,사우,풍무
18,07:11:00,07:15:00,풍무,고촌
18,07:15:00,07:22:00,고촌,김포공항
19,06:52:00,06:55:00,양촌,구래
19,06:55:00,06:58:00,구래,마산
19,06:58:00,07:02:00,마산,장기
19,07:02:00,07:04:00,장기,운양
19,07:04:00,07:09:00,운양,걸포북변
19,07:09:00,07:11:00,걸포북변,사우
19,07:11:00,07:14:00,사우,풍무
19,07:14:00,07:18:00,풍무,고촌
19,07:18:00,07:25:00,고촌,김포공항
20,06:55:00,06:58:00,양촌,구래
20,06:58:00,07:01:00,구래,마산
20,07:01:00,07:05:00,마산,장기
20,07:05:00,07:07:00,장기,운양
20,07:07:00,07:12:00,운양,걸포북변
20,07:12:00,07:14:00,걸포북변,사우
20,07:14:00,07:17:00,사우,풍무
20,07:17:00,07:21:00,풍무,고촌
20,07:21:00,07:28:00,고촌,김포공항
21,06:58:00,07:01:00,양촌,구래
21,07:01:00,07:04:00,구래,마산
21,07:04:00,07:08:00,마산,장기
21,07:08:00,07:11:00,장기,운양
21,07:11:00,07:15:00,운양,걸포북변
21,07:15:00,07:18:00,걸포북변,사우
21,07:18:00,07:20:00,사우,풍무
21,07:20:00,07:24:00,풍무,고촌
21,07:24:00,07:31:00,고촌,김포공항
22,07:01:00,07:04:00,양촌,구래
22,07:04:00,07:07:00,구래,마산
22,07:07:00,07:11:00,마산,장기
22,07:11:00,07:14:00,장기,운양
22,07:14:00,07:18:00,운양,걸포북변
22,07:18:00,07:21:00,걸포북변,사우
22,07:21:00,07:23:00,사우,풍무
22,07:23:00,07:28:00,풍무,고촌
22,07:28:00,07:35:00,고촌,김포공항
23,07:04:00,07:07:00,양촌,구래
23,07:07:00,07:10:00,구래,마산
23,07:10:00,07:14:00,마산,장기
23,07:14:00,07:17:00,장기,운양
23,07:17:00,07:21:00,운양,걸포북변
23,07:21:00,07:24:00,걸포북변,사우
23,07:24:00,07:26:00,사우,풍무
23,07:26:00,07:31:00,풍무,고촌
23,07:31:00,07:38:00,고촌,김포공항
24,07:08:00,07:10:00,양촌,구래
24,07:10:00,07:13:00,구래,마산
24,07:13:00,07:17:00,마산,장기
24,07:17:00,07:20:00,장기,운양
24,07:20:00,07:24:00,운양,걸포북변
24,07:24:00,07:27:00,걸포북변,사우
24,07:27:00,07:29:00,사우,풍무
24,07:29:00,07:34:00,풍무,고촌
24,07:34:00,07:41:00,고촌,김포공항
25,07:10:00,07:13:00,양촌,구래
25,07:13:00,07:17:00,구래,마산
25,07:17:00,07:20:00,마산,장기
25,07:20:00,07:23:00,장기,운양
25,07:23:00,07:27:00,운양,걸포북변
25,07:27:00,07:30:00,걸포북변,사우
25,07:30:00,07:32:00,사우,풍무
25,07:32:00,07:37:00,풍무,고촌
25,07:37:00,07:44:00,고촌,김포공항
26,07:14:00,07:16:00,양촌,구래
26,07:16:00,07:20:00,구래,마산
26,07:20:00,07:24:00,마산,장기
26,07:24:00,07:26:00,장기,운양
26,07:26:00,07:30:00,운양,걸포북변
26,07:30:00,07:33:00,걸포북변,사우
26,07:33:00,07:35:00,사우,풍무
26,07:35:00,07:40:00,풍무,고촌
26,07:40:00,07:47:00,고촌,김포공항
27,07:17:00,07:20:00,양촌,구래
27,07:20:00,07:23:00,구래,마산
27,07:23:00,07:27:00,마산,장기
27,07:27:00,07:29:00,장기,운양
27,07:29:00,07:33:00,운양,걸포북변
27,07:33:00,07:36:00,걸포북변,사우
27,07:36:00,07:39:00,사우,풍무
27,07:39:00,07:43:00,풍무,고촌
27,07:43:00,07:50:00,고촌,김포공항
28,07:20:00,07:23:00,양촌,구래
